Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,233.011200,233.354294,225.632996,227.005707,205.111526,15166944
2017-01-16,225.632996,228.621994,224.260406,228.206802,206.196762,9463834
2017-01-17,236.785995,246.823700,236.271194,238.330307,215.343903,43246840
2017-01-18,239.016602,240.560898,237.300797,237.987106,215.033798,17929569
2017-01-19,237.987106,242.619904,237.300797,241.075607,217.824402,14915225
2017-01-20,241.247192,241.933502,235.413300,236.271194,213.483368,14953647
2017-01-23,235.241699,237.681702,232.839600,237.300797,214.413666,11729557
2017-01-24,235.584900,236.785995,229.236298,233.525894,211.002853,24920045
2017-01-25,235.070206,237.815506,232.839600,235.413300,212.708206,11167063
2017-01-26,236.442795,237.643906,232.324799,237.472305,214.568649,14331876
2017-01-27,237.987106,238.501801,233.011200,235.413300,212.708206,16290871
2017-01-30,234.727005,235.447601,225.976196,226.490997,204.646469,15840253
2017-01-31,227.177307,231.638504,226.490997,229.064697,206.971954,22033015
2017-02-01,234.040695,236.442795,229.064697,229.236298,207.126984,17136049
2017-02-02,228.721497,233.525894,228.378403,231.295303,208.987396,14120280
2017-02-03,232.496399,232.496399,228.378403,230.265793,208.057205,10234660
2017-02-06,230.437393,233.869095,227.972794,233.525894,211.002853,18564494
2017-02-07,233.354294,242.105103,232.153198,240.389297,217.204315,21160090
2017-02-08,240.217697,250.512695,240.217697,247.080994,223.250610,26679104
2017-02-09,247.080994,248.110596,243.134598,246.394699,222.630493,13451788
2017-02-10,246.051498,253.772797,244.678894,251.370605,227.126495,22600897
2017-02-13,250.684296,255.441299,249.140106,253.944397,229.452042,33421282
2017-02-14,256.174988,257.204498,237.987106,243.820908,220.304932,78092730
2017-02-15,244.507294,247.959198,240.560898,241.761902,218.444534,34084639
2017-02-16,241.590393,241.590393,236.405106,237.987106,215.033798,22821278
2017-02-17,238.330307,238.673401,227.863602,228.550003,206.506897,53641414
2017-02-20,234.555405,243.820908,231.079102,242.962997,219.529785,25775987
2017-02-21,243.649399,252.228607,242.791397,251.370605,227.126495,29600281
2017-02-22,253.258102,258.467407,252.228607,257.890808,233.017822,32312211
2017-02-23,257.204498,262.180389,253.944397,262.180389,236.893661,34442761
2017-02-24,260.636200,263.896301,260.121399,262.008911,236.738770,24973477
2017-02-27,262.695190,264.582611,261.150909,263.553101,238.134018,13079539
2017-02-28,263.209991,270.588104,261.150909,270.073303,244.025360,27298818
2017-03-01,270.588104,271.960693,267.156403,268.529114,242.630096,26461217
2017-03-02,267.671112,268.185913,264.754211,266.470001,240.769562,19920264
2017-03-03,266.126892,266.126892,262.523590,264.411011,238.909149,16443094
2017-03-06,264.411011,265.327301,260.636200,260.807800,235.653519,11258753
2017-03-07,261.494110,262.008911,259.091888,259.778290,234.723251,40457322
2017-03-08,259.435089,260.121399,257.032898,257.032898,232.242676,15507897
2017-03-09,257.376099,258.577209,254.001007,256.518188,231.777603,23722458
2017-03-10,257.032898,260.292999,254.934097,258.920288,233.948044,27042098
2017-03-13,258.748810,263.209991,258.520599,261.494110,236.273621,19095295
2017-03-14,262.351990,265.097412,261.837311,263.209991,237.824005,15457982
2017-03-15,264.582611,265.612091,262.695190,265.269012,239.684448,19114530
2017-03-16,266.984802,268.757294,264.411011,265.783691,240.149490,14399670
2017-03-17,264.754211,266.984802,263.038391,265.097412,239.529388,22313137
2017-03-20,264.582611,266.723999,262.523590,265.955292,240.304535,11316112
2017-03-21,267.499603,268.872192,262.351990,266.984802,241.234711,16491097
2017-03-22,267.328003,267.499603,259.893188,260.121399,235.033279,15345609
2017-03-23,259.606689,261.576508,254.459198,258.748810,233.793091,23975135
2017-03-24,259.091888,262.695190,258.035706,259.606689,234.568222,21653350
2017-03-27,259.091888,259.091888,251.713806,254.973907,230.382263,12045603
2017-03-28,255.317093,258.577209,254.115997,258.577209,233.638031,11396907
2017-03-29,258.577209,261.837311,256.003387,260.464600,235.343399,16220900
2017-03-30,260.292999,262.866791,258.062408,262.866791,237.513885,10768993
2017-03-31,263.381500,263.896301,258.748810,258.748810,233.793091,15809102
2017-04-03,260.807800,260.807800,257.147888,257.547699,232.707825,11776254
2017-04-04,258.062408,264.411011,257.719299,263.038391,237.668945,16067095
2017-04-05,263.724701,267.727814,262.980011,267.156403,241.389801,21263343
2017-04-06,265.612091,270.987915,264.239502,269.043793,243.095139,23226191
2017-04-07,269.386993,274.019806,268.185913,273.505005,247.126099,12901347
2017-04-10,274.534485,275.049286,272.647095,273.505005,247.126099,13154899
2017-04-11,272.475494,280.025208,272.132294,278.137787,251.312042,20211185
2017-04-12,279.338898,289.977112,278.309387,285.001099,257.513397,35700476
2017-04-13,284.657990,287.147003,281.740997,284.314789,256.893280,25158016
2017-04-18,285.687500,287.231689,278.309387,279.853607,252.862366,21469801
2017-04-19,279.682007,281.054688,272.990204,274.877686,248.366394,22141845
2017-04-20,275.392395,277.451385,273.580505,276.250305,249.606598,52270016
2017-04-21,275.563995,278.309387,274.362915,276.765106,250.071747,19045958
2017-04-24,282.255798,282.427399,275.392395,277.966187,251.156952,11798229
2017-04-25,278.995697,279.338898,277.622986,278.824097,251.932159,10666932
2017-04-26,277.966187,284.657990,276.936707,283.456909,256.118134,11167870
2017-04-27,278.824097,278.995697,276.078796,277.622986,250.846878,14833790
2017-04-28,278.309387,280.539886,276.765106,278.652496,251.777115,13305580
2017-05-02,278.652496,283.170288,277.108307,282.598999,255.342957,11242772
2017-05-03,282.084198,283.113708,278.309387,282.942108,255.652985,18609807
2017-05-04,282.770508,283.113708,277.108307,278.824097,251.932159,42498839
2017-05-05,279.338898,293.065613,276.871490,292.894012,264.645081,29561335
2017-05-08,291.521301,292.207703,285.687500,291.864502,263.714813,17996735
2017-05-09,291.692902,305.591187,291.692902,305.419586,275.962555,29087797
2017-05-10,305.762787,307.135498,298.899414,300.100494,271.156464,38304980
2017-05-11,299.071014,301.473206,297.526794,299.071014,270.226318,16572756
2017-05-12,298.556305,299.242615,294.609802,296.325714,267.745758,18651894
2017-05-15,297.698395,297.698395,287.746490,293.065613,264.800110,23133134
2017-05-16,293.065613,297.011993,291.006592,296.840393,268.210815,24057821
2017-05-17,294.953003,295.982513,288.604401,289.119202,261.234314,20503208
2017-05-18,285.859100,295.810913,283.456909,291.864502,263.714813,26051992
2017-05-19,292.550812,298.384705,287.574890,292.036102,263.869904,23927039
2017-05-22,292.550812,295.982513,290.320190,292.894012,264.645081,10493810
2017-05-23,293.580292,298.213104,293.580292,295.810913,267.280640,16078695
2017-05-24,295.810913,296.325714,291.349701,293.237213,264.955170,14482842
2017-05-25,293.751892,295.639313,289.290710,292.207703,264.024933,13700319
2017-05-26,292.894012,299.757385,292.454712,299.585785,270.691437,18587089
2017-05-30,298.899414,300.580994,296.154114,298.041504,269.296112,16351769
2017-05-31,299.414215,300.858887,295.982513,297.698395,268.986084,54954163
2017-06-01,299.071014,305.248108,298.556305,303.875397,274.567291,25768265
2017-06-02,305.419586,307.307098,302.159485,305.934387,276.427734,13185546
2017-06-05,305.762787,308.165009,302.670898,306.963898,277.357971,11686042
2017-06-06,305.419586,306.963898,302.159485,306.792297,277.202881,16505641
2017-06-07,307.821808,310.223999,302.674286,304.733307,275.342468,19380415
2017-06-08,305.934387,306.307098,300.958496,304.733307,275.342468,14484501
2017-06-09,307.135498,314.685211,306.277588,311.768311,281.698944,26678664
2017-06-12,310.395599,311.253510,303.532196,306.105988,276.582764,13747961
2017-06-13,307.478607,308.165009,301.988007,305.934387,276.427734,11893683
2017-06-14,306.620697,308.731201,305.934387,307.478607,277.823059,22179153
2017-06-15,307.650208,308.336609,304.390106,307.135498,277.512970,15424206
2017-06-16,309.022888,314.513611,306.963898,311.425110,281.388855,30511085
2017-06-19,313.998810,318.116913,313.312500,317.258911,286.660004,11331542
2017-06-20,317.430511,319.261292,316.761292,317.602112,286.970123,3870329
2017-06-21,317.258911,320.405792,316.744202,320.004303,289.140625,1886576
2017-06-22,319.832703,320.690613,317.773712,319.317993,288.520477,5403128
2017-06-23,318.974792,323.329590,317.602112,323.264404,292.086334,4202545
2017-06-26,323.264404,323.916412,318.288391,319.290497,288.495667,10036230
2017-06-27,317.773712,320.175903,315.028290,318.535889,287.813873,1515874
2017-06-28,315.028290,316.057892,310.395599,312.282990,282.164001,1718370
2017-06-29,312.797791,313.484100,305.934387,307.650208,277.978027,3472011
2017-06-30,306.620697,310.395599,303.302307,305.762787,276.272644,3921415
2017-07-03,305.762787,307.993408,304.046997,307.650208,277.978027,8198047
2017-07-04,305.934387,308.679688,304.561707,307.821808,278.133118,8394440
2017-07-05,309.194489,314.741791,307.650208,311.768311,281.698944,11105953
2017-07-06,311.939789,314.342010,310.223999,314.170410,283.869385,20049276
2017-07-07,313.998810,321.397888,313.998810,321.377014,290.380920,15315708
2017-07-10,321.720093,322.634705,318.031799,319.832703,288.985565,10603511
2017-07-11,319.661102,320.690613,313.998810,316.572601,286.039917,8830305
2017-07-12,317.945313,320.697815,316.229401,318.974792,288.210388,12628667
2017-07-13,319.489502,319.489502,315.199890,317.773712,287.125183,11903699
2017-07-14,318.803192,318.803192,312.282990,313.827301,283.559387,28085140
2017-07-17,313.655701,314.856812,308.964600,314.342010,284.024475,13296299
2017-07-18,314.170410,314.685211,311.253510,314.342010,284.024475,10153120
2017-07-19,315.543091,317.773712,312.797791,317.087402,286.505035,9625026
2017-07-20,316.915802,320.004303,313.998810,314.513611,284.179474,9015928
2017-07-21,313.655701,318.803192,313.140900,316.401001,285.884888,12948813
2017-07-24,315.543091,318.116913,313.921295,317.430511,286.815063,15242149
2017-07-25,317.945313,318.631592,316.915802,317.430511,286.815063,9645177
2017-07-26,318.116913,318.803192,315.199890,316.057892,285.574829,12750132
2017-07-27,316.057892,320.004303,315.371490,319.661102,288.830505,18635791
2017-07-28,316.401001,320.175903,315.886292,318.803192,288.055328,14626655
2017-07-31,310.223999,311.939789,303.703796,304.733307,275.342468,38069822
2017-08-01,315.543091,341.280701,314.513611,335.961609,303.558899,50060126
2017-08-02,334.245789,335.618408,322.063293,323.607605,292.396393,33351934
2017-08-03,323.436005,329.833008,322.921204,327.725586,296.117218,16861440
2017-08-04,328.411896,331.346008,323.264404,330.127686,298.287659,14046878
2017-08-07,330.127686,332.529907,327.553986,328.411896,296.737335,11191182
2017-08-08,328.411896,329.098206,324.980194,326.009705,294.566772,9072093
2017-08-09,324.637085,324.637085,320.004303,322.749603,291.621124,11298724
2017-08-10,320.862213,322.749603,314.685211,315.371490,284.954620,18823204
2017-08-11,312.969299,314.856812,310.052399,312.282990,282.164001,11506934
2017-08-14,312.626190,314.030396,310.052399,310.052399,280.148560,7470205
2017-08-15,312.626190,316.744202,312.262787,312.282990,282.164001,10405853
2017-08-16,313.998810,316.057892,311.425110,313.312500,283.094208,10479269
2017-08-17,312.969299,315.942902,311.425110,312.797791,282.629181,5999964
2017-08-18,311.425110,311.425110,307.478607,309.194489,279.373383,9567996
2017-08-21,307.478607,310.853699,307.478607,309.537689,279.683472,5328707
2017-08-22,311.768311,315.371490,310.738708,314.685211,284.334534,12372452
2017-08-23,315.371490,315.714691,312.454590,314.685211,284.334534,5778093
2017-08-24,315.371490,315.886292,312.282990,312.282990,282.164001,6540183
2017-08-25,313.484100,313.655701,310.223999,311.081909,281.078766,7518295
2017-08-29,310.223999,310.910309,305.248108,307.821808,278.133118,7839488
2017-08-30,310.567200,313.655701,309.022888,312.111389,282.008972,6045907
2017-08-31,314.170410,315.143311,312.454590,313.655701,283.404327,8496061
2017-09-01,315.371490,317.430511,313.655701,315.714691,285.264740,9042679
2017-09-04,313.998810,314.856812,310.910309,312.797791,282.629181,4404402
2017-09-05,312.454590,313.484100,308.508209,309.022888,279.218353,8320406
2017-09-06,308.336609,308.336609,304.046997,306.105988,276.582764,9826219
2017-09-07,305.762787,307.135498,302.502686,303.360596,274.102142,9759013
2017-09-08,303.017487,307.135498,301.774200,306.105988,276.582764,8563733
2017-09-11,305.762787,310.738708,302.502686,309.537689,279.683472,7485559
2017-09-12,310.223999,310.738708,307.821808,308.851288,279.063324,10786203
2017-09-13,306.963898,311.768311,305.246307,309.880798,279.993469,10334649
2017-09-14,310.052399,312.282990,306.277588,309.709198,279.838501,17016003
2017-09-15,308.679688,308.679688,301.816406,303.875397,274.567291,22987107
2017-09-18,305.248108,308.508209,304.733307,305.248108,275.807587,7510917
2017-09-19,304.561707,307.993408,304.561707,307.650208,277.978027,15154391
2017-09-20,306.792297,311.253510,305.419586,309.022888,279.218353,6279681
2017-09-21,308.679688,309.537689,303.017487,304.046997,274.722382,12049645
2017-09-22,303.703796,306.963898,303.188995,306.105988,276.582764,6963859
2017-09-25,305.248108,305.248108,300.958496,303.188995,273.947113,8179138
