Date,High,Low,Open,Close,Volume,Adj Close
2021-08-23,12.850000381469727,12.470000267028809,12.710000038146973,12.729999542236328,64573600,12.729999542236328
2021-08-24,13.140000343322754,12.760000228881836,12.8100004196167,13.079999923706055,53672500,13.079999923706055
2021-08-25,13.279999732971191,13.020000457763672,13.119999885559082,13.170000076293945,51195500,13.170000076293945
2021-08-26,13.130000114440918,12.8100004196167,13.109999656677246,12.899999618530273,57559800,12.899999618530273
2021-08-27,13.369999885559082,12.869999885559082,12.890000343322754,13.3100004196167,57524000,13.3100004196167
2021-08-30,13.369999885559082,13.029999732971191,13.350000381469727,13.050000190734863,42720100,13.050000190734863
2021-08-31,13.140000343322754,12.930000305175781,13.020000457763672,13.029999732971191,42212700,13.029999732971191
2021-09-01,13.220000267028809,12.899999618530273,13.029999732971191,13.109999656677246,58875700,13.109999656677246
2021-09-02,13.210000038146973,12.970000267028809,13.09000015258789,13.010000228881836,49053200,13.010000228881836
2021-09-03,13.050000190734863,12.869999885559082,12.989999771118164,12.890000343322754,41616700,12.890000343322754
2021-09-07,13.039999961853027,12.8100004196167,12.829999923706055,12.949999809265137,64008900,12.949999809265137
