Date,Open,High,Low,Close,Adj Close,Volume
2016-08-24,123.050003,123.900002,121.150002,122.650002,107.715622,721191
2016-08-25,122.050003,122.400002,119.449997,120.400002,105.739594,1002019
2016-08-26,120.699997,124.250000,120.550003,124.199997,109.076889,1262102
2016-08-29,123.199997,124.900002,121.849998,122.400002,107.496063,589692
2016-08-30,123.250000,125.250000,122.800003,124.800003,109.603836,964915
2016-08-31,124.400002,126.099998,124.199997,124.500000,109.340355,889574
2016-09-01,124.849998,126.949997,123.050003,123.849998,108.769501,940549
2016-09-02,124.400002,125.550003,121.849998,125.150002,109.911209,1126209
2016-09-05,124.699997,125.949997,124.349998,124.849998,109.647743,745682
2016-09-06,125.400002,126.400002,124.250000,125.050003,109.823387,867938
2016-09-07,125.699997,127.550003,124.849998,126.750000,111.316391,1042527
2016-09-08,126.849998,127.900002,124.150002,125.900002,110.569885,1140447
2016-09-09,125.300003,126.650002,124.500000,124.849998,109.647743,902883
2016-09-12,122.800003,123.500000,121.349998,123.050003,108.066917,1186645
2016-09-13,123.849998,124.400002,121.949997,122.099998,107.232590,851658
2016-09-14,122.800003,123.400002,121.099998,122.550003,107.627800,868782
2016-09-15,122.099998,123.650002,120.900002,122.400002,107.496063,1017188
2016-09-16,121.849998,122.650002,117.800003,117.949997,103.587906,2658345
2016-09-19,119.500000,120.099998,118.699997,119.500000,104.949188,958092
2016-09-20,119.849998,120.650002,118.349998,118.349998,103.939209,778595
2016-09-21,119.300003,120.400002,118.349998,119.099998,104.597893,687208
2016-09-22,119.800003,122.199997,119.400002,121.000000,106.266533,1011297
2016-09-23,121.150002,121.400002,118.800003,119.150002,104.641808,965021
2016-09-26,118.400002,118.449997,115.349998,116.199997,102.050995,1284652
2016-09-27,117.449997,117.750000,110.599998,113.199997,99.416290,2595299
2016-09-28,113.449997,115.400002,113.099998,114.550003,100.601913,1187597
2016-09-29,116.099998,117.400002,115.250000,115.550003,101.480148,918888
2016-09-30,114.000000,117.250000,111.599998,116.949997,102.709679,1313487
2016-10-04,117.000000,119.849998,116.550003,118.599998,104.158768,1519985
2016-10-05,117.250000,120.900002,116.650002,120.250000,105.607864,1310593
2016-10-06,120.699997,121.349998,119.849998,120.000000,105.388298,913539
2016-10-07,119.800003,119.949997,117.699997,118.550003,104.114861,1259918
2016-10-10,118.750000,121.550003,118.349998,121.349998,106.573921,1060710
2016-10-11,121.000000,121.900002,120.250000,120.300003,105.651772,1061795
2016-10-12,120.300003,121.500000,119.550003,120.099998,105.476120,735308
2016-10-13,119.400002,119.500000,116.699997,117.699997,103.368355,1161459
2016-10-14,118.300003,121.250000,118.050003,120.599998,105.915237,1273172
2016-10-17,119.949997,121.099998,119.349998,119.650002,105.080917,699053
2016-10-18,120.849998,121.349998,119.599998,121.300003,106.530006,832877
2016-10-19,121.500000,122.050003,120.849998,121.349998,106.573921,1089220
2016-10-20,121.699997,123.800003,121.099998,123.400002,108.374298,1177482
2016-10-21,122.699997,123.900002,122.199997,123.250000,108.242569,1209555
2016-10-24,123.400002,125.849998,123.300003,125.849998,110.525978,1157622
2016-10-25,125.550003,127.449997,125.500000,126.900002,111.448128,1326079
2016-10-26,126.000000,126.599998,121.900002,126.000000,110.657715,1693284
2016-10-27,126.550003,128.750000,124.599998,125.650002,110.350327,1514246
2016-10-28,124.449997,125.949997,123.699997,125.949997,110.613792,1087244
2016-10-31,125.800003,126.150002,124.849998,125.199997,109.955124,745723
2016-11-01,125.949997,126.599998,123.500000,123.650002,108.593864,921706
2016-11-02,123.349998,123.349998,119.949997,120.250000,105.607864,1163584
2016-11-03,120.150002,121.000000,119.199997,119.199997,104.685699,1190320
2016-11-04,119.000000,119.300003,117.400002,118.699997,104.246582,1128326
2016-11-07,118.050003,119.349998,118.050003,119.349998,104.817444,1405521
2016-11-08,119.500000,119.550003,116.750000,118.849998,104.378326,1209846
2016-11-09,114.099998,117.000000,113.400002,116.400002,102.226654,2654862
2016-11-10,117.550003,117.650002,113.699997,114.750000,100.777557,1864947
2016-11-11,115.599998,119.000000,115.300003,117.500000,103.192703,1694157
2016-11-14,117.599998,118.900002,115.550003,117.000000,102.753586,1337012
2016-11-15,117.050003,118.949997,115.849998,118.500000,104.070946,1321035
2016-11-16,118.500000,119.800003,116.500000,118.050003,103.675743,1010011
2016-11-17,117.099998,118.599998,116.250000,117.550003,103.236626,821969
2016-11-18,120.000000,120.000000,117.050003,117.150002,102.885330,1220126
2016-11-21,118.449997,120.800003,117.650002,120.099998,105.476120,1578932
2016-11-22,120.900002,121.699997,119.550003,120.599998,105.915237,1112253
2016-11-23,122.400002,123.300003,121.500000,123.000000,108.023010,1640988
2016-11-24,123.500000,124.949997,123.199997,124.699997,109.515999,1116857
2016-11-25,124.599998,125.300003,124.099998,125.099998,109.867302,1116511
2016-11-28,124.199997,124.199997,122.250000,122.699997,107.759529,933723
2016-11-29,122.500000,123.000000,120.849998,122.599998,107.671707,899492
2016-11-30,122.500000,123.000000,121.349998,121.800003,106.969116,715426
2016-12-01,120.949997,122.199997,119.300003,119.750000,105.168747,1148047
2016-12-02,118.650002,119.300003,117.199997,118.750000,104.290504,1456671
