Date,Open,Close,High,Low,Volume
2016-08-24,3341.93,3329.86,3348.13,3323.73,81191429.0
2016-08-25,3314.08,3308.97,3315.08,3279.81,100589153.0
2016-08-26,3312.5,3307.09,3328.95,3301.74,81530691.0
2016-08-29,3306.57,3307.78,3315.08,3297.07,77036333.0
2016-08-30,3310.32,3311.99,3325.12,3304.6,75725987.0
2016-08-31,3310.57,3327.79,3333.97,3304.66,79570805.0
2016-09-01,3326.74,3301.58,3329.35,3301.21,84947219.0
2016-09-02,3298.72,3314.11,3320.43,3295.76,82791803.0
2016-09-05,3321.01,3319.68,3338.42,3314.63,78292477.0
2016-09-06,3322.02,3342.63,3347.95,3300.13,98283998.0
2016-09-07,3344.07,3340.82,3357.36,3337.75,102940106.0
2016-09-08,3338.01,3339.56,3343.4,3328.23,71916158.0
2016-09-09,3339.37,3318.04,3344.95,3318.04,82657036.0
2016-09-12,3271.87,3262.6,3276.72,3234.57,122917682.0
2016-09-13,3265.34,3260.33,3269.22,3246.39,67180288.0
2016-09-14,3245.74,3238.73,3255.0,3231.34,70432697.0
2016-09-19,3242.74,3263.12,3264.9,3242.74,58831082.0
2016-09-20,3264.66,3257.4,3265.04,3252.39,52784206.0
2016-09-21,3257.71,3266.64,3270.9,3254.32,59142979.0
2016-09-22,3281.47,3291.12,3303.2,3277.98,75753542.0
2016-09-23,3292.28,3275.67,3293.92,3275.02,57993986.0
2016-09-26,3267.69,3220.28,3267.69,3220.28,70452186.0
2016-09-27,3214.87,3240.75,3240.78,3214.44,58460550.0
2016-09-28,3243.65,3230.89,3243.65,3228.0,44727498.0
2016-09-29,3234.86,3244.39,3257.77,3234.8,55452556.0
2016-09-30,3240.18,3253.28,3260.94,3239.04,44978022.0
2016-10-10,3265.36,3293.87,3294.64,3258.96,80519260.0
2016-10-11,3296.87,3306.56,3308.0,3292.88,87713163.0
2016-10-12,3299.14,3300.01,3302.56,3289.75,68669781.0
2016-10-13,3299.16,3302.65,3307.41,3292.4,81224198.0
2016-10-14,3298.73,3305.85,3306.69,3285.73,82316271.0
2016-10-17,3305.96,3277.88,3309.01,3271.54,86113509.0
2016-10-18,3272.68,3321.33,3321.33,3272.68,102860714.0
2016-10-19,3323.3,3316.24,3332.52,3309.83,101167725.0
2016-10-20,3317.18,3318.6,3324.9,3312.17,79238871.0
2016-10-21,3315.72,3327.74,3341.56,3309.18,109785176.0
2016-10-24,3332.51,3367.58,3382.83,3330.97,153014345.0
2016-10-25,3367.48,3367.45,3373.91,3356.59,111191693.0
2016-10-26,3365.2,3354.8,3367.83,3349.57,98024786.0
2016-10-27,3351.46,3345.7,3352.35,3335.13,77629851.0
2016-10-28,3347.14,3340.13,3370.75,3337.29,93133309.0
2016-10-31,3332.41,3336.28,3340.47,3317.33,71352863.0
2016-11-01,3338.71,3359.05,3359.39,3334.46,74938199.0
2016-11-02,3350.71,3333.35,3356.4,3331.38,91197104.0
2016-11-03,3326.9,3365.08,3379.99,3324.84,126223504.0
2016-11-04,3362.21,3354.17,3377.64,3348.43,104069655.0
2016-11-07,3353.44,3356.59,3362.74,3342.31,99877988.0
2016-11-08,3367.7,3371.12,3383.92,3361.13,103148282.0
2016-11-09,3370.6,3353.05,3373.1,3322.08,139110059.0
2016-11-10,3374.91,3390.61,3403.02,3374.91,134705535.0
2016-11-11,3387.95,3417.22,3422.67,3382.89,198781496.0
2016-11-14,3409.22,3430.25,3452.62,3408.14,213247105.0
2016-11-15,3428.87,3429.87,3434.92,3415.99,134566320.0
2016-11-16,3432.43,3429.59,3435.64,3419.24,129808511.0
2016-11-17,3423.47,3436.53,3437.67,3412.88,121561731.0
2016-11-18,3437.49,3417.46,3443.12,3413.27,115951205.0
2016-11-21,3412.65,3441.11,3463.14,3412.08,146434529.0
2016-11-22,3443.22,3468.36,3469.22,3443.22,168523446.0
2016-11-23,3473.9,3474.73,3492.96,3465.76,162388504.0
2016-11-24,3468.81,3488.74,3508.16,3467.01,145746301.0
2016-11-25,3490.04,3521.3,3521.3,3463.95,153621506.0
