Date,High,Low,Open,Close,Volume,Adj Close
2021-08-23,82.69000244140625,81.91999816894531,82.69000244140625,82.12999725341797,17700,82.12999725341797
2021-08-24,83.55999755859375,82.95999908447266,83.2699966430664,83.19999694824219,4900,83.19999694824219
2021-08-25,83.88999938964844,83.37999725341797,83.75,83.55999755859375,7800,83.55999755859375
2021-08-26,83.4000015258789,82.9000015258789,83.19000244140625,82.93000030517578,7400,82.93000030517578
2021-08-27,84.16999816894531,83.20999908447266,83.20999908447266,84.05999755859375,11700,84.05999755859375
2021-08-30,84.9000015258789,84.30999755859375,84.30999755859375,84.5,10500,84.5
2021-08-31,84.56999969482422,83.69000244140625,83.69000244140625,84.25,31500,84.25
2021-09-01,84.5,83.69999694824219,83.69999694824219,84.12999725341797,10500,84.12999725341797
2021-09-02,84.44999694824219,83.5,83.51000213623047,83.62000274658203,6700,83.62000274658203
2021-09-03,83.91000366210938,83.0999984741211,83.41000366210938,83.36000061035156,9700,83.36000061035156
2021-09-07,84.0999984741211,83.08000183105469,83.26000213623047,83.75,12600,83.75
